"IdReferencia","Descripcion","seleccion","usuario","feccre","fecultmod","deleted_at"
"83","S01 Mantenimiento y reparaciones",,"1","2016-09-01 10:40:36",,
"84","S02 Servicios de fletes",,"1","2016-09-01 10:40:42",,
"85","S03 Servicios de transporte de pasajeros",,"1","2016-09-01 10:40:48",,
"86","S04 Otros servicios de transportes",,"1","2016-09-01 10:40:56",,
"87","S05 Servicios postales y de mensajería",,"1","2016-09-01 10:41:03",,
"88","S06 Turismo y Viajes",,"1","2016-09-01 10:41:10",,
"89","S07 Servicios de construcción",,"1","2016-09-01 10:41:17",,
"90","S08 Primas de seguros",,"1","2016-09-01 10:41:24",,
"91","S09 Siniestros",,"1","2016-09-01 10:41:30",,
"92","S10 Servicios auxiliares de seguros",,"1","2016-09-01 10:41:39",,
"93","S11 Servicios financieros",,"1","2016-09-01 10:41:47",,
"94","S12 Servicios de telecomunicaciones",,"1","2016-09-01 10:41:53",,
"95","S13 Servicios de informática",,"1","2016-09-01 10:42:00",,
"96","S14 Servicios de información",,"1","2016-09-01 10:42:06",,
"97","S15 Cargos por el uso de la propiedad intelectual",,"1","2016-09-01 10:42:13",,
"98","S16 Servicios de investigación y desarrollo",,"1","2016-09-01 10:42:21",,
"99","S17 Servicios jurídicos, contables y gerenciales",,"1","2016-09-01 10:42:26",,
"100","S18 Servicios de publicidad, investigación de mercado y encuestas de opinión pública",,"1","2016-09-01 10:42:32",,
"101","S19 Servicios arquitectónicos, de ingeniería y otros servicios técnicos",,"1","2016-09-01 10:42:39",,
"102","S20 Servicios de arrendamiento operativo",,"1","2016-09-01 10:42:48",,
"103","S21 Servicios relacionados con el comercio",,"1","2016-09-01 10:42:56",,
"104","S22 Otros servicios empresariales",,"1","2016-09-01 10:43:02",,
"105","S23 Servicios audiovisuales y conexos",,"1","2016-09-01 10:43:08",,
"106","S24 Otros servicios personales, culturales y recreativos",,"1","2016-09-01 10:43:14",,
"107","S25 Servicios del gobierno",,"1","2016-09-01 10:43:21",,
"108","S26(anulado)Gtos y derechos exigibles a la importación por operaciones realizadas bajo condición DDP",,"2","2016-09-01 10:43:28","2017-07-12 10:07:50",
"109","I01 Intereses del exterior",,"1","2016-09-01 10:43:36",,
"110","I02 Intereses locales",,"1","2016-09-01 10:43:42",,
"111","I03 Utilidades y dividendos",,"1","2016-09-01 10:43:50",,
"112","I04 Remuneración de empleados",,"1","2016-09-01 10:43:57",,
"113","I05 Alquiler de inmuebles",,"1","2016-09-01 10:44:05",,
"114","I06 Otras rentas",,"1","2016-09-01 10:44:13",,
"115","I07 Transferencias personales",,"1","2016-09-01 10:44:20",,
"116","I08 Otras transferencias corrientes",,"1","2016-09-01 10:44:27",,
"117","C01 Adquisiciones/disposiciones de activos no financieros no producidos",,"1","2016-09-01 10:44:34",,
"118","C02 Transferencias de capital",,"1","2016-09-01 10:44:40",,
"119","A01 Instrumentos de deuda entre empresas afiliadas",,"1","2016-09-01 10:44:48",,
"120","A02 Inversiones de residentes en inmuebles en el exterior",,"1","2016-09-01 10:44:55",,
"121","A03 Otras inversiones directas de residentes",,"1","2016-09-01 10:45:02",,
"122","A04 Títulos de deuda",,"1","2016-09-01 10:45:15",,
"123","A05 Derivados financieros",,"1","2016-09-01 10:45:32",,
"124","A06 Préstamos otorgados a no residentes",,"1","2016-09-01 10:45:45",,
"125","A07 Depósitos de residentes en el exterior",,"1","2016-09-01 10:45:52",,
"126","A08 Otras inversiones en el exterior de residentes",,"1","2016-09-01 10:46:00",,
"127","A09 Billetes y cheques de viajeros en poder de residentes",,"1","2016-09-01 10:46:07",,
"128","A10 Débito/crédito de moneda extranjera en cuentas locales por transferencias con el exterior",,"1","2016-09-01 10:46:25",,
"129","A11 Suscripción primaria de entidades financieras de títulos valores",,"1","2016-09-01 10:46:35",,
"130","A12 Otras operaciones de compra/venta de entidades financieras de títulos valores",,"1","2016-09-01 10:46:45",,
"131","A13 (ANULADO) Ingreso de divisas del exterior acreditadas en cuentas locales",,"2","2016-09-01 10:46:57","2017-08-09 10:36:46",
"132","A14 Operaciones de empresas procesadoras de pagos ",,"2","2016-09-01 10:47:05","2017-07-12 10:09:48",
"133","A15 Ingresos de divisas vinculadas a exportaciones de bienes pendientes de liquidación",,"1","2016-09-01 10:47:13",,
"134","P01 Instrumentos de deuda entre empresas afiliadas",,"1","2016-09-01 10:47:21",,
"135","P02 Inversiones de no residentes en inmuebles en el país",,"1","2016-09-01 10:47:27",,
"136","P03 Otras inversiones directas de no residentes",,"1","2016-09-01 10:47:33",,
"137","P04 Títulos de deuda",,"1","2016-09-01 10:47:41",,
"138","P05 Derivados financieros",,"1","2016-09-01 10:47:49",,
"139","P06 Préstamos financieros de organismos internacionales y agencias oficiales de crédito",,"1","2016-09-01 10:47:55",,
"140","P07 Préstamos financieros habilitados para aplicar divisas de exportaciones",,"1","2016-09-01 10:48:04",,
"141","P08 Otros préstamos financieros",,"1","2016-09-01 10:48:14",,
"142","P09 Líneas de crédito del exterior",,"1","2016-09-01 10:48:20",,
"143","P10 Depósitos locales de no residentes",,"1","2016-09-01 10:48:26",,
"144","P11 Otras inversiones de no residentes",,"1","2016-09-01 10:48:34",,
"145","P12 Otras financiaciones locales otorgadas por la entidad (excluida la financiación de",,"2","2016-09-01 10:48:42","2017-07-12 10:30:27",
"146","A17 Transferencias desde/al exterior asociadas a operaciones entre residentes ",,"2","2017-02-22 14:21:10",,
"147","DEVOLUCION DE PAGOS DE IMPORTACION",,"2","2018-11-13 17:57:35","2018-11-13 17:58:22",
"148","TRANFERENCIAS DOLARES MEP",,"1","2018-11-20 11:51:31",,
"149","B10 Pagos de deudas comerciales por importaciones de bienes sin registro de ingreso aduanero ",,"2","2019-11-13 11:25:08",,
"150","B12 Pagos anticipados de importaciones de bienes de capital",,"2","2019-11-13 11:26:08",,
"151","A19 Constitucion de depositos en moneda extranjera para aplicar al pago de servicios de deuda",,"2","2019-11-13 11:30:57",,
"152","Gestion de Recupero de IVA ",,"1","2020-01-16 13:52:50",,
"153","B15 Pagos de deudas comerciales por la importacion de bienes con agencias oficales de credito ",,"2","2021-10-29 16:41:44",,
"154","B16 Pagos con r i a p por importacion de medicamentos y bienes para atencion medica de la poblacion",,"2","2021-10-29 16:45:36",,
"155","B17 Pagos deudas comerciales importacion medicamentos criticos de persona juricadas ",,"2","2021-10-29 16:47:46",,
"156","B18 Pagos vista de importaciones de insumos para produccion local de bienes",,"2","2021-10-29 16:48:38",,
"157","B19 Pagos deudas comerciales importaciones insumos prod loc bienes sin r i a ",,"2","2021-10-29 16:50:09",,
"158","B20 Pagos vista de importaciones de bienes de capital",,"2","2021-10-29 16:50:35",,
