"id_nota_debito","pto_vta","NroNotaDebito","Fecha","Tipo_Entidad","entidad_id","Concepto","observacion","efectivo","PorImpuesto","ImpImpuesto","Total","Estado","feccre","fecultmod","vendedor_id"
"152","2","152","2025-03-31","C","37","Servicio de Asesoramiento ",,"0.04",,,"0.04",,"2025-03-31 16:50:30",,
"153","2","153","2025-03-31","C","1004","Servicio de Asesoramiento ",,"0.03",,,"0.03",,"2025-03-31 16:51:00",,
"154","2","154","2025-03-31","C","1114","Servicio de Asesoramiento ",,"0.01",,,"0.01",,"2025-03-31 16:51:30",,
"155","2","155","2025-03-31","C","1243"," Nota de Debito de Factura:  5987",,"0.01","0","0","0.01",,"2025-03-31 16:51:59",,"5"
"156","2","156","2025-03-31","C","890","Servicio de Asesoramiento ",,"0.03","0","0","0.03",,"2025-03-31 16:52:25",,
"157","2","157","2025-03-31","C","971","Servicio de Asesoramiento ",,"0.04","0","0","0.04",,"2025-03-31 16:52:56",,
"158","2","158","2025-03-31","C","43","Servicio de Asesoramiento ",,"0.03","21","0.01","0.04",,"2025-03-31 16:53:20",,
"159","2","159","2025-03-31","C","167","Servicio de Asesoramiento ",,"0.03","0","0","0.03",,"2025-03-31 16:53:32",,
"160","2","160","2025-03-31","C","153","Servicio de Asesoramiento ",,"0.02",,,"0.02",,"2025-03-31 16:54:04",,
"161","2","161","2025-03-31","C","1091","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2025-03-31 16:54:29",,
"162","2","162","2025-03-31","C","1066","Servicio de Asesoramiento ",,"0.01",,,"0.01",,"2025-03-31 16:55:04",,
"163","2","163","2025-03-31","C","1039","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2025-03-31 16:55:34",,
"164","2","164","2025-03-31","C","917","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2025-03-31 16:55:46",,
"165","2","165","2025-03-31","C","1161","Servicio de Asesoramiento ",,"0.03","0","0","0.03",,"2025-03-31 16:56:11",,
"166","2","166","2025-03-31","C","904","Servicio de Asesoramiento ",,"0.02","0","0","0.02",,"2025-03-31 16:56:42",,
"167","2","167","2025-03-31","C","1125","Servicio de Asesoramiento ",,"0.03",,,"0.03",,"2025-03-31 16:57:12",,
"168","2","168","2025-03-31","C","942","Servicio de Asesoramiento ",,"0.04",,,"0.04",,"2025-03-31 16:57:39",,
"169","2","169","2025-03-31","C","1098","Servicio de Asesoramiento ",,"0.01",,,"0.01",,"2025-03-31 16:57:59",,
"170","2","170","2025-03-31","C","946","Servicio de Asesoramiento ",,"0.02","0","0","0.02",,"2025-03-31 16:58:34",,
"171","2","171","2025-03-31","C","1239","Servicio de Asesoramiento ",,"0.03","0","0","0.03",,"2025-03-31 16:59:04",,
"172","2","172","2025-03-31","C","1018","Servicio de Asesoramiento ",,"0.03",,,"0.03",,"2025-03-31 17:00:37",,
"173","2","173","2025-03-31","C","1159","Servicio de Asesoramiento ",,"0.01",,,"0.01",,"2025-03-31 17:01:18",,
"174","2","174","2025-03-31","C","1124","Servicio de Asesoramiento ",,"0.01",,,"0.01",,"2025-03-31 17:01:39",,
"175","2","175","2025-03-31","C","1047","Servicio de Asesoramiento ",,"0.02","0","0","0.02",,"2025-03-31 17:04:17",,
"176","2","176","2025-03-31","C","1074","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2025-03-31 17:04:45",,
"177","2","177","2025-03-31","C","1182","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2025-03-31 17:05:21",,
"178","2","178","2025-03-31","C","944","Servicio de Asesoramiento ",,"1766.32",,,"1766.32",,"2025-03-31 17:06:07",,
"179","2","179","2025-03-31","C","135","Servicio de Asesoramiento ",,"49.77",,,"49.77",,"2025-03-31 17:07:53",,
"180","2","180","2025-06-01","C","1232"," Nota de Debito de Factura:  6262",,"19000","0","0","19000",,"2025-06-01 14:35:45",,"5"
"181","2","181","2025-07-13","C","938"," Nota de Debito de Factura:  861",,"7400","0","0","7400",,"2025-07-13 20:20:30",,"5"
"182","2","182","2025-08-03","C","938"," Nota de Debito de Factura:  881",,"8400","0","0","8400",,"2025-08-03 11:50:10",,"5"
