"id","entidad_id","honorario_producto_id","honorario_id","producto_id","importe","created_at","updated_at"
"212","1153","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"213","1154","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"214","1090","48","8","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"215","1156","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"216","1159","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"217","1137","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"218","1160","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"219","999","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"220","984","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"221","983","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"222","1041","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"223","1161","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"224","1162","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"225","999","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"226","1163","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"227","1164","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"228","1165","20","8","3","500","2026-6-25 14:04:04","2026-6-25 14:04:04"
"229","1166","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"230","1167","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"231","1167","8","2","9","2450","2026-6-25 14:04:04","2026-6-25 14:04:04"
"232","1168","50","10","9","1900","2026-6-25 14:04:04","2026-6-25 14:04:04"
"233","1169","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"234","1066","48","8","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"235","1170","50","10","9","1900","2026-6-25 14:04:04","2026-6-25 14:04:04"
"236","1171","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"237","1172","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"238","1118","44","4","9","2350","2026-6-25 14:04:04","2026-6-25 14:04:04"
"239","269","29","10","6","1000","2026-6-25 14:04:04","2026-6-25 14:04:04"
"240","504","28","9","6","48","2026-6-25 14:04:04","2026-6-25 14:04:04"
"241","92","27","8","6","55","2026-6-25 14:04:04","2026-6-25 14:04:04"
"242","961","44","4","9","2350","2026-6-25 14:04:04","2026-6-25 14:04:04"
"243","1174","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"244","1175","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"245","1176","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"246","985","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"247","1177","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"248","1178","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"249","1179","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"250","1180","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"251","1182","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"252","437","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"253","1183","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"254","1093","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"255","125","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"256","1184","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"257","1185","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"258","1186","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"259","1187","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"260","1188","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"261","1189","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"262","1190","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"263","39","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"264","667","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"265","1191","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"266","1192","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"267","9","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"268","491","12","3","7","110","2026-6-25 14:04:04","2026-6-25 14:04:04"
"269","1064","12","3","7","110","2026-6-25 14:04:04","2026-6-25 14:04:04"
"270","1193","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"271","1194","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"272","1195","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"273","1196","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"274","1197","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"275","1198","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"276","1199","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"277","1200","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"278","1201","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"279","1202","12","3","7","110","2026-6-25 14:04:04","2026-6-25 14:04:04"
"280","1203","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"281","1204","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"282","1205","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"283","1084","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"284","1077","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"285","1206","12","3","7","110","2026-6-25 14:04:04","2026-6-25 14:04:04"
"286","1207","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"287","1208","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
